Case ID;Court ID;Lawyer ssn;Client ssn;Case Value;Case Date
1;3;295-62-2630;836-18-7873;52007;2020-07-10
2;1;774-78-1028;836-18-7873;99284;2020-07-19
3;2;251-74-8573;663-41-7713;12562;2020-07-27
4;4;601-34-3357;002-14-8350;25849;2020-08-04
5;4;251-74-8573;663-41-7713;66786;2020-06-18
6;1;745-11-2147;663-41-7713;33769;2020-07-11
7;2;295-62-2630;065-39-2466;37271;2020-06-28
8;3;774-78-1028;065-39-2466;21217;2020-08-18
9;2;149-44-5404;836-18-7873;89395;2020-07-03
10;4;601-34-3357;002-14-8350;42739;2020-08-09
11;3;057-09-5985;300-16-9594;4525;2020-08-03
12;3;057-09-5985;836-18-7873;92913;2020-06-07
13;3;370-01-4095;328-97-5983;76253;2020-05-29
14;4;295-62-2630;407-02-9374;36542;2020-08-06
15;4;370-01-4095;002-14-8350;87027;2020-06-09
16;4;443-86-2818;407-02-9374;79542;2020-06-26
17;3;443-86-2818;513-57-8403;83233;2020-06-24
18;4;295-62-2630;106-34-8045;6382;2020-07-05
19;4;774-78-1028;616-05-7176;32829;2020-08-23
20;3;251-74-8573;836-18-7873;70360;2020-07-22
21;2;601-34-3357;513-57-8403;93142;2020-08-18
22;4;443-86-2818;300-16-9594;69924;2020-06-29
23;1;149-44-5404;616-05-7176;29129;2020-06-08
24;4;601-34-3357;407-02-9374;85741;2020-08-22
25;3;293-64-6251;002-14-8350;15765;2020-05-30
26;4;057-09-5985;663-41-7713;23789;2020-06-20
27;2;774-78-1028;407-02-9374;55542;2020-07-31
28;2;370-01-4095;513-57-8403;61620;2020-07-25
29;2;774-78-1028;065-39-2466;10139;2020-05-28
30;2;774-78-1028;616-05-7176;64319;2020-08-07
31;1;601-34-3357;513-57-8403;1670;2020-05-30
32;3;251-74-8573;616-05-7176;70828;2020-07-06
33;4;370-01-4095;663-41-7713;62654;2020-06-06
34;1;443-86-2818;300-16-9594;65145;2020-06-15
35;3;745-11-2147;836-18-7873;52386;2020-08-02
36;2;745-11-2147;300-16-9594;8768;2020-07-01
37;2;251-74-8573;663-41-7713;42184;2020-07-20
38;1;601-34-3357;663-41-7713;85843;2020-07-10
39;2;295-62-2630;616-05-7176;54561;2020-08-22
40;1;601-34-3357;513-57-8403;18646;2020-07-06
41;2;251-74-8573;513-57-8403;27815;2020-08-23
42;1;251-74-8573;300-16-9594;14254;2020-06-28
